GKWWBAA00014	287
GKWWBAA00014	470
GKWWBAA00014	519
GKWWBAA00014	546
GKWWBAA00014	548
GKWWBAA00014	550
GKWWBAA00014	562
GKWWBAA00014	571
GKWWBAA00014	573
GKWWBAA00014	575
GKWWBAA00014	615
GKWWBAA00014	622
GKWWBAA00014	623
GKWWBAA00014	644
GKWWBAA00014	646
GKWWBAA00014	648
GKWWBAA00014	654
GKWWBAA00014	666
GKWWBAA00014	727
GKWWBAA00014	729
GKWWBAA00014	817
GKWWBAA00014	1313
GKWWBAA00014	1314
GKWWBAA00014	1352
GKWWBAA00014	1496
GKWWBAA00014	1502
GKWWBAA00014	1513
GKWWBAA00014	1717
GKWWBAA00014	1774
GKWWBAA00014	28082
GKWWBAA00014	28450
GKWWBAA00014	28901
GKWWBAA00014	29466
GKWWBAA00014	40324
GKWWBAA00014	43675
GKWWBAA00014	54291
GKWWBAA00014	106654
GKWWBAA00014	244366
GKWWBAA00014	1463165
GKWWBAA00015	287
GKWWBAA00015	485
GKWWBAA00015	546
GKWWBAA00015	562
GKWWBAA00015	573
GKWWBAA00015	615
GKWWBAA00015	644
GKWWBAA00015	646
GKWWBAA00015	648
GKWWBAA00015	654
GKWWBAA00015	666
GKWWBAA00015	726
GKWWBAA00015	729
GKWWBAA00015	1017
GKWWBAA00015	1260
GKWWBAA00015	1313
GKWWBAA00015	1328
GKWWBAA00015	1496
GKWWBAA00015	1502
GKWWBAA00015	2718
GKWWBAA00015	5476
GKWWBAA00015	5763
GKWWBAA00015	13373
GKWWBAA00015	13689
GKWWBAA00015	28132
GKWWBAA00015	28450
GKWWBAA00015	28901
GKWWBAA00015	29466
GKWWBAA00015	43675
GKWWBAA00015	80866
GKWWBAA00015	106654
GKWWBAA00015	199306
GKWWBAA00015	244366
GKWWBAA00015	327575
GKWWBAA00015	1117645
GKWWBAA00015	1463165
GKWWBAA00017	287
GKWWBAA00017	470
GKWWBAA00017	519
GKWWBAA00017	546
GKWWBAA00017	562
GKWWBAA00017	571
GKWWBAA00017	573
GKWWBAA00017	582
GKWWBAA00017	584
GKWWBAA00017	615
GKWWBAA00017	644
GKWWBAA00017	646
GKWWBAA00017	648
GKWWBAA00017	654
GKWWBAA00017	729
